task_id,all_three_Terra_endpoints_known,Terra_G0,Terra_G0_state,Luna_G0,Terra_GS,Terra_GS_state,Luna_GS,Terra_GF,Terra_GF_state,Luna_GF
BAL-2-05,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-1-06,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-3-07,True,0,EVALUATED,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-3-05,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-3-02,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-2-01,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-1-08,True,0,EVALUATED,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-1-07,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-2-06,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-3-06,True,0,EVALUATED,True,0,KEEP,True,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-2-07,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-2-02,True,0,EVALUATED,False,1,NONE_FINAL_ARTIFACT_VALID,False,0,regression,False
BAL-1-03,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-2-08,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-1-01,True,0,EVALUATED,False,0,BUDGET_EXHAUSTED,False,0,regression,False
BAL-1-05,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-2-04,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-1-04,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-3-08,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-2-03,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-3-04,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-3-03,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
BAL-1-02,True,0,EVALUATED,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,True
BAL-3-01,True,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False,1,NONE_FINAL_ARTIFACT_VALID,False
