constraint_type,expression,id,id_type,scope_path,targets,title,is_active,references,value,xml_example_content,targetRefs,confidence,review_issues
relationship,"Instances of ApplicationPrimitiveDataType are compatible if and only if one of the following conditions applies:

1. All of the following subconditions apply: (a) They have the same category (see table in figure 5.8). (b) The swDataDefProps attached to the M1 data types are compatible. The meaning of this statement is explained in section 6.2.4.

2. In the context of using the ApplicationPrimitiveDataType, a DataPrototypeMapping exists that refers to a DataPrototype typed by one of the ApplicationPrimitiveDataTypes in the role firstDataPrototype and to another DataPrototype typed by the other ApplicationPrimitiveDataType in the role secondDataPrototype.

3. In the context of using the ApplicationPrimitiveDataType, a DataPrototypeMapping exists that refers to a DataPrototype typed by the ApplicationPrimitiveDataType in the role secondDataPrototype and to another DataPrototype typed by an ApplicationCompositeDataType in the role firstDataPrototype and additionally for the side of the ApplicationCompositeDataType a corresponding ApplicationCompositeDataTypeSubElementRef exists in the role firstElement that in turn references an ApplicationCompositeElementDataPrototype.",constr_1047,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.1 ApplicationDataType', '6.2.1.1 ApplicationPrimitiveDataType']","[{'entityType': 'class', 'targetAttributes': ['_classLevel', 'category', 'swDataDefProps'], 'targetEntityName': 'ApplicationPrimitiveDataType'}, {'entityType': 'class', 'targetAttributes': ['firstDataPrototype', 'secondDataPrototype'], 'targetEntityName': 'DataPrototypeMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationCompositeDataType'}, {'entityType': 'class', 'targetAttributes': ['firstElement'], 'targetEntityName': 'ApplicationCompositeDataTypeSubElementRef'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationCompositeElementDataPrototype'}]",Compatibility of ApplicationPrimitiveDataTypes,True,[],,,"['ApplicationCompositeDataType._classLevel', 'ApplicationCompositeDataTypeSubElementRef.firstElement', 'ApplicationCompositeElementDataPrototype._classLevel', 'ApplicationPrimitiveDataType._classLevel', 'ApplicationPrimitiveDataType.category', 'ApplicationPrimitiveDataType.swDataDefProps', 'DataPrototype._classLevel', 'DataPrototypeMapping.firstDataPrototype', 'DataPrototypeMapping.secondDataPrototype']",0.9,"[""属性 'firstElement' 在元数据类 'ApplicationCompositeDataTypeSubElementRef' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"Instances of ApplicationRecordDataTypes are compatible if and only if one of the following conditions applies:
1. All elements at the same record position are of compatible Autosar DataTypes either ApplicationCompositeDataTypes or ApplicationPrimitiveDataTypes).
2. In the context of a DataPrototypeMapping, for each ApplicationRecordElement of the required ApplicationRecordDataType a SubElementMapping exists such that a ApplicationCompositeDataTypeSubElementRef in the role firstElement or secondElement exists that references the required ApplicationRecordElement and a corresponding ApplicationCompositeDataTypeSubElementRef exists in the other role (i.e. secondElement or firstElement) that in turn references an ApplicationRecordElement of the provided ApplicationRecordDataType.",constr_1048,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.1 ApplicationDataType', '6.2.1.2 ApplicationCompositeDataType']","[{'entityType': 'class', 'targetAttributes': ['_classLevel', 'element'], 'targetEntityName': 'ApplicationRecordDataType'}, {'entityType': 'abstract', 'targetAttributes': ['_abstractLevel'], 'targetEntityName': 'AutosarDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationCompositeDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationPrimitiveDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataPrototypeMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationRecordElement'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SubElementMapping'}, {'entityType': 'class', 'targetAttributes': ['firstElement', 'secondElement'], 'targetEntityName': 'ApplicationCompositeDataTypeSubElementRef'}]",Compatibility of ApplicationRecordDataTypes,True,[],,,"['ApplicationCompositeDataType._classLevel', 'ApplicationCompositeDataTypeSubElementRef.firstElement', 'ApplicationCompositeDataTypeSubElementRef.secondElement', 'ApplicationPrimitiveDataType._classLevel', 'ApplicationRecordDataType._classLevel', 'ApplicationRecordDataType.element', 'ApplicationRecordElement._classLevel', 'AutosarDataType._abstractLevel', 'DataPrototypeMapping._classLevel', 'SubElementMapping._classLevel']",0.9,"[""属性 'firstElement' 在元数据类 'ApplicationCompositeDataTypeSubElementRef' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'secondElement' 在元数据类 'ApplicationCompositeDataTypeSubElementRef' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"Instances of ApplicationArrayDataType are compatible if and only if one of the following conditions applies:
1. All of the following subconditions apply:
(a) Their elements are of a compatible AutosarDataTypes (either ApplicationPrimitive or ApplicationCompositeDataTypes DataTypes).
(b) The attributes maxNumberOfElements and arraySizeSemantics (given the existence) have identical values.
2. In the context of a DataPrototypeMapping, for the ApplicationArrayElement of the required ApplicationArrayDataType a SubElementMapping exists such that a ApplicationCompositeDataTypeSubElementRef in the role firstElement or secondElement exists that references the required ApplicationArrayElement and a corresponding ApplicationCompositeDataTypeSubElementRef exists in the other role (i.e. secondElement or firstElement) that in turn references an ApplicationArrayElement of the provided ApplicationArrayDataType.",constr_1049,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.1 ApplicationDataType', '6.2.1.2 ApplicationCompositeDataType']","[{'entityType': 'class', 'targetAttributes': ['_classLevel', 'element', 'maxNumberOfElements', 'arraySizeSemantics'], 'targetEntityName': 'ApplicationArrayDataType'}, {'entityType': 'abstract', 'targetAttributes': ['_abstractLevel'], 'targetEntityName': 'AutosarDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationPrimitiveDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationCompositeDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataPrototypeMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ApplicationArrayElement'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SubElementMapping'}, {'entityType': 'class', 'targetAttributes': ['firstElement', 'secondElement'], 'targetEntityName': 'ApplicationCompositeDataTypeSubElementRef'}]",Compatibility of ApplicationArrayDataTypes,True,[],,,"['ApplicationArrayDataType._classLevel', 'ApplicationArrayDataType.arraySizeSemantics', 'ApplicationArrayDataType.element', 'ApplicationArrayDataType.maxNumberOfElements', 'ApplicationArrayElement._classLevel', 'ApplicationCompositeDataType._classLevel', 'ApplicationCompositeDataTypeSubElementRef.firstElement', 'ApplicationCompositeDataTypeSubElementRef.secondElement', 'ApplicationPrimitiveDataType._classLevel', 'AutosarDataType._abstractLevel', 'DataPrototypeMapping._classLevel', 'SubElementMapping._classLevel']",0.9,"[""属性 'maxNumberOfElements' 在元数据类 'ApplicationArrayDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'arraySizeSemantics' 在元数据类 'ApplicationArrayDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'firstElement' 在元数据类 'ApplicationCompositeDataTypeSubElementRef' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'secondElement' 在元数据类 'ApplicationCompositeDataTypeSubElementRef' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"Instances of ImplementationDataType are compatible if and only if after all type-references are resolved one of the following rules apply:

1. All of the following subconditions apply:
(a) They have the same category (see table 5.18)
(b) They have the identical structure (this refers to ImplementationDataTypeElement and their subElements).
(c) The attributes arraySize and arraySizeSemantics have (given the existence) identical values.
(d) The swDataDefProps attached to the M1 data types are compatible. The meaning of this statement is explained in section 6.2.4.

2. In the context of using the ImplementationDataType, a DataPrototypeMapping exists that refers to a DataPrototype typed by one of the ImplementationDataTypes in the role firstDataPrototype and to another DataPrototype typed by the other ImplementationDataType in the role secondDataPrototype.

3. In the context of using the ImplementationDataType, a DataPrototypeMapping exists that refers to a DataPrototype typed by the ImplementationDataTypes in the role secondDataPrototype and to another DataPrototype typed by an ImplementationDataType with a subElement in the role firstDataPrototype and additionally for the side of the ImplementationDataType with a subElement a corresponding ImplementationDataTypeSubElementRef exists in the role firstElement that in turn references an ImplementationDataTypeElement.",constr_1050,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.2 ImplementationDataType']","[{'entityType': 'class', 'targetAttributes': ['_classLevel', 'category', 'subElement', 'arraySize', 'arraySizeSemantics', 'swDataDefProps'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['_classLevel', 'subElement'], 'targetEntityName': 'ImplementationDataTypeElement'}, {'entityType': 'class', 'targetAttributes': ['firstDataPrototype', 'secondDataPrototype'], 'targetEntityName': 'DataPrototypeMapping'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'DataPrototype'}, {'entityType': 'class', 'targetAttributes': ['firstElement'], 'targetEntityName': 'ImplementationDataTypeSubElementRef'}]",Compatibility of ImplementationDataTypes,True,[],,,"['DataPrototype._classLevel', 'DataPrototypeMapping.firstDataPrototype', 'DataPrototypeMapping.secondDataPrototype', 'ImplementationDataType._classLevel', 'ImplementationDataType.arraySize', 'ImplementationDataType.arraySizeSemantics', 'ImplementationDataType.category', 'ImplementationDataType.subElement', 'ImplementationDataType.swDataDefProps', 'ImplementationDataTypeElement._classLevel', 'ImplementationDataTypeElement.subElement', 'ImplementationDataTypeSubElementRef.firstElement']",0.9,"[""属性 'arraySize' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'arraySizeSemantics' 在元数据类 'ImplementationDataType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'firstElement' 在元数据类 'ImplementationDataTypeSubElementRef' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"Two SwBaseTypes are compatible if and only if attributes baseTypeSize respectively maxBaseTypeSize, byteOrder, memAlignment, baseTypeEncoding, and nativeDeclaration have identical values.",constr_1220,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.3 Compatibility of SwBaseType']","[{'entityType': 'class', 'targetAttributes': ['baseTypeSize', 'maxBaseTypeSize', 'byteOrder', 'memAlignment', 'baseTypeEncoding', 'nativeDeclaration'], 'targetEntityName': 'SwBaseType'}]",Compatibility of SwBaseType,True,[],,,"['SwBaseType.baseTypeEncoding', 'SwBaseType.baseTypeSize', 'SwBaseType.byteOrder', 'SwBaseType.maxBaseTypeSize', 'SwBaseType.memAlignment', 'SwBaseType.nativeDeclaration']",0.9,"[""属性 'baseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'maxBaseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'byteOrder' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'memAlignment' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseTypeEncoding' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'nativeDeclaration' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
value_restriction,It is not required that the shortNames of two Units shall be identical in order to consider the two units as compatible.,Constr_Unit_ShortNameNotRequiredForCompatibility,additional_not_binding,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.4 Compatibility of SwDataDefProps', '6.2.4.1 Compatibility of Units']","[{'entityType': 'class', 'targetAttributes': ['shortName'], 'targetEntityName': 'Unit'}]",ShortName identity not required for Unit compatibility,True,[],,,['Unit.shortName'],0.9,"[""属性 'shortName' 在元数据类 'Unit' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"Two PhysicalDimension definitions are compatible if and only if the values of
• lengthExp
• massExp
• timeExp
• currentExp
• temperatureExp
• molarAmountExp
• luminousIntensityExp
are identical and either the shortNames are identical or a PhysicalDimension Mapping exists that maps one of the PhysicalDimensions in the role first PhysicalDimension and the other PhysicalDimension in the role secondPhysicalDimension.",constr_1053,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.4 Compatibility of SwDataDefProps', '6.2.4.2 Compatibility of PhysicalDimensions']","[{'entityType': 'class', 'targetAttributes': ['lengthExp', 'massExp', 'timeExp', 'currentExp', 'temperatureExp', 'molarAmountExp', 'luminousIntensityExp', 'shortName'], 'targetEntityName': 'PhysicalDimension'}, {'entityType': 'class', 'targetAttributes': ['firstPhysicalDimension', 'secondPhysicalDimension'], 'targetEntityName': 'PhysicalDimensionMapping'}]",Compatibility of PhysicalDimensions,True,[],,,"['PhysicalDimension.currentExp', 'PhysicalDimension.lengthExp', 'PhysicalDimension.luminousIntensityExp', 'PhysicalDimension.massExp', 'PhysicalDimension.molarAmountExp', 'PhysicalDimension.shortName', 'PhysicalDimension.temperatureExp', 'PhysicalDimension.timeExp', 'PhysicalDimensionMapping.firstPhysicalDimension', 'PhysicalDimensionMapping.secondPhysicalDimension']",0.9,"[""属性 'shortName' 在元数据类 'PhysicalDimension' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,The attributes SwDataDefProps.swPointerTargetProps shall have identical targetCategory and shall refer to SwDataDefProps where all attributes are identical,constr_1057,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.4 Compatibility of SwDataDefProps']","[{'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['swPointerTargetProps', 'targetCategory'], 'targetEntityName': 'SwDataDefProps'}]",ImplementationDataType has category DATA_REFERENCE,True,[],,,"['ImplementationDataType.category', 'SwDataDefProps.swPointerTargetProps', 'SwDataDefProps.targetCategory']",0.9,"[""属性 'targetCategory' 在元数据类 'SwDataDefProps' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,Compatibility requirements for CompuScales shall only apply for CompuScales where the category of the enclosing CompuMethod is one of the following: • SCALE_LINEAR_AND_TEXTTABLE • SCALE_RATIONAL_AND_TEXTTABLE • TEXTTABLE • TAB_NOINTP • BITFIELD_TEXTTABLE • LINEAR • RAT_FUNC • IDENTICAL,constr_1153,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.4 Compatibility of SwDataDefProps', '6.2.4.5 Compatibility of CompuMethods']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'CompuScale'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'CompuMethod'}]",Applicability of compatibility requirements for CompuScales,True,[],"SCALE_LINEAR_AND_TEXTTABLE, SCALE_RATIONAL_AND_TEXTTABLE, TEXTTABLE, TAB_NOINTP, BITFIELD_TEXTTABLE, LINEAR, RAT_FUNC, IDENTICAL",,"['CompuMethod.category', 'CompuScale._classLevel']",0.9,"[""属性 'category' 在元数据类 'CompuMethod' 的已知属性列表中未找到。 (LLM 违规)""]"
relationship,"CompuScales of category LINEAR and RAT_FUNC are considered compatible if they yield the same conversion. In other words, `n₀+n₁*phys` / `d₀+d₁*phys` is compatible to `N₀+N₁*phys` / `D₀` if `n₀ ~ N₀ && n₁ ~ N₁ && d₀ ~ D₀ && d₁ ~ 0`.",constr_1176,constr,"['6 Compatibility', '6.2 Compatibility of Data Types', '6.2.4 Compatibility of SwDataDefProps', '6.2.4.5 Compatibility of CompuMethods']","[{'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'CompuScale'}]",Compatibility of CompuScales of category LINEAR and RAT_FUNC,True,[],,,['CompuScale.category'],0.9,"[""属性 'category' 在元数据类 'CompuScale' 的已知属性列表中未找到。 (LLM 违规)""]"
