task_id,arm,opportunity,path,response_id,response_model,finish_reason,kind,prompt_tokens,completion_tokens,reasoning_tokens,cache_read_tokens,cache_write_tokens,wire_bytes,request_seed,reasoning_effort,max_completion_tokens,response_sha256
BAL-1-01,GF,round_01,continuation3/run/tasks/BAL-1-01/GF/round_01/response.json,chatcmpl-EMRjHl7mA0VDcjPrJADGGVAZCw9Em,gpt-5.6-terra-2026-07-09,stop,CONTENT,5806,557,512,0,5803,22307,104729,low,4096,ef8d856b83e62d2144ec5873d86ae73fdef877ddfbf4ffe9946e5f84ea1bfbeb
BAL-1-01,GS,round_01,continuation3/run/tasks/BAL-1-01/GS/round_01/response.json,chatcmpl-EMRivkALtXKnAy0CMgCbYsfmX6SLJ,gpt-5.6-terra-2026-07-09,stop,CONTENT,5160,1038,972,0,5157,21895,104729,low,4096,71d4239d61f4378749d21b88421695eda436a1e2bb6ad386aae19f8dcec6d865
BAL-1-01,GS,round_02,continuation3/run/tasks/BAL-1-01/GS/round_02/response.json,chatcmpl-EMRj9qdvsqco4ByHOZAccHeJjKheI,gpt-5.6-terra-2026-07-09,stop,CONTENT,5160,372,315,0,5157,21895,104729,low,4096,88beaa3667f0b8822c35616b8be78336e1449c8a3ae2bb8445f70131899c666a
BAL-1-01,G0,shared_initial,continuation3/run/tasks/BAL-1-01/shared_generation/shared_initial/response.json,chatcmpl-EMRinJzku7pL974AJX76Fk0jpAbNP,gpt-5.6-terra-2026-07-09,stop,CONTENT,4396,298,204,0,4393,17838,104729,low,4096,b1600a73cdf529a9e6f0d1bd6346dcff9577fb0ad978d51f24c7276d23d47b10
BAL-1-02,GF,round_01,continuation3/run/tasks/BAL-1-02/GF/round_01/response.json,chatcmpl-EMRmzPgKxaOB8nIpPUz5uqs6Ak75q,gpt-5.6-terra-2026-07-09,stop,CONTENT,5898,468,423,0,5895,22678,104729,low,4096,72a830ed47cbab1bbac1c83120b66e1aae04b3c32ba223bfee30334021039168
BAL-1-02,GS,round_01,continuation3/run/tasks/BAL-1-02/GS/round_01/response.json,chatcmpl-EMRmYpFik73oNkmWRMnRLkDFSIrjD,gpt-5.6-terra-2026-07-09,stop,CONTENT,5211,1138,1081,0,5208,22066,104729,low,4096,fc3c530e65ac5c264963f3b5f92cc89e1a3a7d30cd98ed21a23912d812ca8fe5
BAL-1-02,GS,round_02,continuation3/run/tasks/BAL-1-02/GS/round_02/response.json,chatcmpl-EMRmpu6mHdfbr0daOLMDBnBJye5o1,gpt-5.6-terra-2026-07-09,stop,CONTENT,5211,536,512,0,5208,22066,104729,low,4096,26cd147f867c34a9a22a5e7d90547f6bb8f6927fb3e831ead874c37b4f44637e
BAL-1-02,G0,shared_initial,continuation3/run/tasks/BAL-1-02/shared_generation/shared_initial/response.json,chatcmpl-EMRmQDezbmCoCs5n5EjPb0D3QaLqB,gpt-5.6-terra-2026-07-09,stop,CONTENT,4447,330,236,0,4444,18009,104729,low,4096,81a4889b534d2311b7fc83480055ea24641b69f328f6551804cec1ae0d4d99da
BAL-1-03,GS,round_01,continuation3/run/tasks/BAL-1-03/GS/round_01/response.json,chatcmpl-EMRiL9E7HpxZIeOz70gKLR941OTly,gpt-5.6-terra-2026-07-09,stop,CONTENT,5169,451,428,0,5166,21924,104729,low,4096,f1486d45a8b40a10ef8fe78033e2d38ab6d8e031137f8785ee5dde2670d18858
BAL-1-03,G0,shared_initial,continuation3/run/tasks/BAL-1-03/shared_generation/shared_initial/response.json,chatcmpl-EMKKSIf85CHZlo0GmMc7wyq3TvQrp,gpt-5.6-terra-2026-07-09,stop,CONTENT,4405,606,512,0,4402,17867,104729,low,4096,5d6da9020a0f514173c9d1d8abcddb8c49b87176d678b32d5459ee62025e6cc0
BAL-1-04,GS,round_01,continuation3/run/tasks/BAL-1-04/GS/round_01/response.json,chatcmpl-EMRkLQp78vWuOPYAJjd87GM4yvSMh,gpt-5.6-terra-2026-07-09,stop,CONTENT,5177,770,718,0,5174,21970,104729,low,4096,bd9199ffb4e17df8889732f848dcb374b3e11b35e19f2bf91311134570f4bac8
BAL-1-04,GS,round_02,continuation3/run/tasks/BAL-1-04/GS/round_02/response.json,chatcmpl-EMRkXxxHIcaMq2JnRaz4x8iyUaI8Z,gpt-5.6-terra-2026-07-09,stop,CONTENT,5177,1119,1083,0,5174,21970,104729,low,4096,d3dea7a322c024089c00f7e2fbec256e6d5b4f1af9e2dbec38480a894d2cddc7
BAL-1-04,G0,shared_initial,continuation3/run/tasks/BAL-1-04/shared_generation/shared_initial/response.json,chatcmpl-EMRkBZC2XEKtiCI4n1CE3frWbrs4j,gpt-5.6-terra-2026-07-09,stop,CONTENT,4413,466,372,0,4410,17913,104729,low,4096,82de244f0e47f275263e971543ff66b7a50acc41f4608be208d5b294b370de25
BAL-1-05,GS,round_01,continuation3/run/tasks/BAL-1-05/GS/round_01/response.json,chatcmpl-EMRjcI25x3vXDBkqMoWerHRRo08Az,gpt-5.6-terra-2026-07-09,stop,CONTENT,5241,373,349,0,5238,22218,104729,low,4096,9fc34aa60b9e1451fa3dcce5b7137dcc66680921929d055f1522bb4c44d6e466
BAL-1-05,G0,shared_initial,continuation3/run/tasks/BAL-1-05/shared_generation/shared_initial/response.json,chatcmpl-EMRjSZSVCopNsSGoN9pfB2ytXfVqF,gpt-5.6-terra-2026-07-09,stop,CONTENT,4477,566,472,0,4474,18161,104729,low,4096,3c5af538bbe39d5057483820ddeaa9c6c75d8b5703beea8e6d16aec5f7105408
BAL-1-06,GS,round_01,continuation3/run/tasks/BAL-1-06/GS/round_01/response.json,chatcmpl-EMK4g9jTexzRtFhimaGpkOr8Z8Vv7,gpt-5.6-terra-2026-07-09,stop,CONTENT,5241,589,559,0,5238,22194,104729,low,4096,77b7d58f017338296f49475ecae458f1061237eaf9d620a06b3000dbe764c202
BAL-1-06,G0,shared_initial,continuation3/run/tasks/BAL-1-06/shared_generation/shared_initial/response.json,chatcmpl-EMK4UxSwaFJPUuA22EHNb9WrO4Jzv,gpt-5.6-terra-2026-07-09,stop,CONTENT,4477,739,639,0,4474,18137,104729,low,4096,720b881972972840db98e4a7d50e81f6ed3e1b3c2d08c057867babefd31dbadd
BAL-1-07,GS,round_01,continuation3/run/tasks/BAL-1-07/GS/round_01/response.json,chatcmpl-EMKISrYdrHNXuMbd1rSbHdI1ZUWzN,gpt-5.6-terra-2026-07-09,stop,CONTENT,5182,425,401,0,5179,22018,104729,low,4096,be124edfce96f35c6fbcdd4f5c53eaa042a2a94af7d41339dc0aebecd5168020
BAL-1-07,G0,shared_initial,continuation3/run/tasks/BAL-1-07/shared_generation/shared_initial/response.json,chatcmpl-EMKIIM70VIhzca1d1pjOKkVnDLHYd,gpt-5.6-terra-2026-07-09,stop,CONTENT,4418,606,512,0,4415,17961,104729,low,4096,9a4ab90fffd3882752709efae202f0dab8c7fd664addabf91716ff8c2f68fb94
BAL-1-08,GF,round_01,continuation3/run/tasks/BAL-1-08/GF/round_01/response.json,chatcmpl-EMKI9nHELsl8wWgEnunUeEaejntVd,gpt-5.6-terra-2026-07-09,stop,CONTENT,5868,551,506,0,5865,22504,104729,low,4096,d9618f7a1461654408313a27228725dbb84cec1abe010a4f9f4dbd8e8b92a951
BAL-1-08,GS,round_01,continuation3/run/tasks/BAL-1-08/GS/round_01/response.json,chatcmpl-EMKHkBjnChpJpfhu4XVyCkkbWmTm8,gpt-5.6-terra-2026-07-09,stop,CONTENT,5222,1197,1140,0,5219,22092,104729,low,4096,70e58b71690f3503997b3a9291f2cdcca7ff4e555d6a8a870197e8756bfcc7cb
BAL-1-08,GS,round_02,continuation3/run/tasks/BAL-1-08/GS/round_02/response.json,chatcmpl-EMKHzXRT0TAANbzm787Uy0iFMwe1P,gpt-5.6-terra-2026-07-09,stop,CONTENT,5222,536,512,0,5219,22092,104729,low,4096,5e6659335cc09cc3556985534de11f680fd26934265eac78b93bf695194ddfb6
BAL-1-08,G0,shared_initial,continuation3/run/tasks/BAL-1-08/shared_generation/shared_initial/response.json,chatcmpl-EMKHbspiBfnMEIkUKzynscrM5ckfC,gpt-5.6-terra-2026-07-09,stop,CONTENT,4458,408,314,0,4455,18035,104729,low,4096,dca6ad0a4617800e15fa9837cff53a4c6719490609881b99b9b5bd9305457468
